Gene name,GBM12-EV,GBM12_shPDK1,GBM12_shPDK1 set2
TP73,8.08,4.71,5.32
TP73,8.14,4.72,5.34
TP73,8.11,4.7,5.3
TP73,8.33,4.87,5.51
TP73,8.17,4.74,5.38
TP73,1.71,1.26,1.35
TP73,8.52,4.96,5.65
TP73,7.69,4.35,4.97
TP73-AS1,8.78,6.45,5.84
TP73-AS1,9.15,7.05,6.16
TP73-AS1,9.35,7.26,6.48
TP73-AS1,8.69,7.31,6.29
TP73-AS1,8.51,7.34,6.14
CCDC27,0.06,0.08,0.03
SMIM1,0.93,2.32,1.69
SMIM1,0.88,2.16,1.58
LRRC47,29.65,28.86,32.79
CEP104,9.61,8.05,7.05
CEP104,10.05,8.44,7.43
CEP104,11.37,10.1,8.86
CEP104,11.92,9.9,9.33
DFFB,3.04,2.02,3.02
DFFB,2.62,1.89,2.86
DFFB,2.76,1.84,2.73
DFFB,4.73,3.66,4.55
DFFB,4.38,3.4,4.22
DFFB,4.41,3.41,4.18
DFFB,4.59,3.54,4.38
DFFB,4.52,3.49,4.33
DFFB,4.5,3.45,4.29
DFFB,4.39,3.37,4.22
DFFB,4.56,3.5,4.36
C1orf174,16.72,13.32,18.53
C1orf174,11.36,9.01,12.59
C1orf174,1.96,2.46,2.65
LOC100133612,0.22,0.3,0.19
LOC100133612,0.01,0.01,0
LOC100133612,0.44,0.65,0.43
AK125078,0,0.03,0.02
NPHP4,3.22,3.17,2.6
NPHP4,1.13,1.33,1.17
NPHP4,2.51,2.57,1.96
NPHP4,2.82,2.86,2.17
NPHP4,2.9,2.96,2.16
NPHP4,1.48,1.47,1.13
KCNAB2,1.67,3.17,2.23
KCNAB2,0.94,1.71,1.26
KCNAB2,1.64,3.18,2.22
KCNAB2,1.68,3.25,2.23
KCNAB2,1.61,3.12,2.18
KCNAB2,1.54,3.02,2.1
KCNAB2,1.81,3.54,2.45
CHD5,0.17,0.14,0.16
CHD5,0.19,0.2,0.21
CHD5,0.2,0.22,0.26
CHD5,0.27,0.41,0.41
RPL22,68.52,39.31,55.23
RPL22,69.47,39.88,55.95
RNF207,0.03,0.05,0.02
RNF207,1.18,1.24,1.15
RNF207,0.13,0.09,0.13
RNF207,0.23,0.16,0.17
ICMT,22.17,16.32,15.6
ICMT,21.58,15.85,15.16
C1orf211,0.02,0.07,0.05
HES3,0,0,0.02
GPR153,18.37,14.86,11.38
ACOT7,78.59,54.43,77.76
ACOT7,77.64,53.7,76.8
ACOT7,70.21,50.34,69.84
ACOT7,64.8,43.97,63.34
ACOT7,59.62,40.61,58.48
HES2,1.31,1.66,1.2
HES2,0.56,0.65,0.52
ESPN,0.16,0.16,0.16
ESPN,0.26,0.19,0.17
TNFRSF25,3.49,6.36,2.53
TNFRSF25,3.91,6.51,2.6
TNFRSF25,3.87,6.71,2.59
TNFRSF25,3.81,6.48,2.54
TNFRSF25,4.12,7.14,2.72
TNFRSF25,4.04,6.88,2.7
TNFRSF25,4.03,6.77,2.67
TNFRSF25,3.96,6.88,2.61
TNFRSF25,4.01,6.85,2.67
TNFRSF25,3.94,6.62,2.65
TNFRSF25,3.06,5.28,2.04
PLEKHG5,5.54,10.59,4.77
PLEKHG5,5.74,11.1,4.93
PLEKHG5,6.18,11.89,5.27
PLEKHG5,6.21,11.95,5.3
PLEKHG5,5.99,11.59,5.18
PLEKHG5,6.19,11.91,5.3
PLEKHG5,6.28,12.1,5.36
PLEKHG5,6.23,11.99,5.31
PLEKHG5,6.19,11.92,5.28
PLEKHG5,6.25,12.05,5.34
PLEKHG5,5.32,10.08,4.46
PLEKHG5,5.63,10.83,4.8
NOL9,5.1,4.3,3.78
NOL9,4.9,4.19,3.65
TAS1R1,0.15,0.02,0.01
TAS1R1,0.19,0.01,0.01
TAS1R1,0.16,0.01,0.01
ZBTB48,8,8.96,9.71
ZBTB48,7.65,8.55,9.25
ZBTB48,7.99,8.92,9.68
ZBTB48,4.95,5.46,5.61
KLHL21,15.54,18.89,22.8
KLHL21,23.21,28.85,34.66
KLHL21,20.89,25.59,30.85
PHF13,20.32,22.78,23.02
THAP3,17.14,19.05,24.37
THAP3,17.46,19.37,24.91
THAP3,15.35,12.27,14.22
DNAJC11,20.35,15.07,16.6
DNAJC11,19.65,14.62,16.13
DNAJC11,19.96,14.7,16.23
CAMTA1,24.55,17.6,24.68
CAMTA1,6.24,3.97,4.92
CAMTA1,13.05,8.68,11.07
CAMTA1,2.35,3.58,3.41
CAMTA1,2.62,3.26,3.47
CAMTA1,3.05,4.71,4.64
CAMTA1,3.1,4.71,4.64
CAMTA1,3.05,4.98,4.84
VAMP3,44.08,60.85,54.05
PER3,11.72,17.56,12.96
PER3,13.87,21.2,15.08
PER3,14.17,21.68,15.39
PER3,13.89,21.73,14.77
PER3,14.06,21.93,14.94
PER3,13.7,21.38,14.56
UTS2,7.08,11.34,7.43
UTS2,0,0,0.02
UTS2,0,0,0.02
TNFRSF9,0.2,0.53,0.56
PARK7,205.7,132.84,175.34
PARK7,195.39,126.44,166.41
PARK7,180.73,117.46,154.8
AX747125,27.97,17.8,23.6
ERRFI1,56.6,51.51,40.48
ERRFI1,33.29,32.35,25.13
SLC45A1,3.94,6.39,6.29
SLC45A1,3.87,6.38,6.55
RERE,32.43,45.56,37.6
RERE,27.56,37.64,31.91
RERE,28.21,38.56,32.72
RERE,27.33,38.85,33.08
BC113958,0,0.02,0
RERE,7.23,7.09,8.06
ENO1,620.19,524.17,637.9
ENO1,840.53,706.31,861.36
ENO1,762.02,636.36,774.96
ENO1,133.67,112.18,133.95
ENO1-AS1,0.29,0.19,0.23
CA6,0.03,0,0.02
CA6,0.01,0,0
CA6,0.01,0.01,0.01
CA6,0,0.01,0.01
CA6,0,0.01,0.01
SLC2A7,0.01,0,0
SLC2A5,0.1,0.53,0.18
SLC2A5,0.11,0.55,0.18
SLC2A5,0.1,0.49,0.2
SLC2A5,0.09,0.49,0.17
SLC2A5,0.09,0.2,0.15
SLC2A5,0.08,0.25,0.13
SLC2A5,0.07,0.17,0.21
GPR157,0.44,1.12,0.84
GPR157,0.5,1.12,0.85
GPR157,0.51,0.61,0.46
GPR157,0.11,0.17,0.14
mir-34,0.75,1.28,0.79
H6PD,11.52,14.8,9.41
SPSB1,2.71,9.35,6.9
SPSB1,2.78,9.54,7
SLC25A33,13.27,17.74,15.08
TMEM201,13.67,13.83,13.13
TMEM201,9.59,11.72,11.12
TMEM201,9.22,11.22,10.68
PIK3CD,0.33,0.64,0.82
PIK3CD,1.01,1.43,1.2
BC038541,0.4,0.8,0.57
PIK3CD,0.98,1.37,1.16
PIK3CD,1.01,1.42,1.19
PIK3CD,0.96,1.36,1.14
CLSTN1,81.51,97.75,73.96
CLSTN1,77.19,92.8,69.55
CLSTN1,78.04,93.71,70.32
CLSTN1,76.15,91.51,68.68
CTNNBIP1,22.6,11.16,14.76
CTNNBIP1,23.52,11.64,15.43
LZIC,28.07,19.97,25.42
LZIC,26.96,18.95,24.61
LZIC,24.68,17.12,22.12
LZIC,27.93,19.63,25.46
NMNAT1,4.4,4.94,3.38
RBP7,0.42,0.55,1.27
RBP7,0.53,0.82,1.11
UBE4B,16.54,16.31,15.31
UBE4B,17.71,17.4,16.29
UBE4B,16.18,15.95,14.97
UBE4B,17.39,17.05,16.02
UBE4B,17.54,17.38,16.17
UBE4B,16.61,16.6,14.79
KIF1B,26.64,35.83,28.01
KIF1B,25.51,31.52,23.57
KIF1B,27.61,41.39,32.55
KIF1B,26.83,40.24,31.75
KIF1B,27.97,41.82,32.93
KIF1B,27.79,41.54,32.71
KIF1B,28.34,42.32,33.29
KIF1B,27.95,41.75,32.87
PGD,169.76,111.09,192.84
PGD,160.65,105.01,182.2
APITD1,6.63,2.68,3.96
APITD1-CORT,3.86,1.49,2.41
APITD1-CORT,2.63,0.77,1.57
APITD1-CORT,1.88,0.56,1.22
APITD1-CORT,2.64,1.33,1.59
APITD1-CORT,2.46,1.3,1.5
CORT,0.95,0.48,0.7
DFFA,21.72,21.06,20.68
DFFA,14.31,13.5,13.01
PEX14,0.12,0.22,0.24
PEX14,0.59,0.2,0.3
PEX14,2.67,2.6,3.41
PEX14,14.08,13.06,15.28
PEX14,13.89,13.03,15.11
PEX14,13.78,13.01,15
PEX14,13.75,12.7,14.99
PEX14,13.68,12.81,14.83
CASZ1,0.64,1.97,1.95
CASZ1,1.1,3.12,3.21
CASZ1,1.24,3.4,3.68
CASZ1,0.49,1.37,1.55
C1orf127,0.01,0.01,0.01
C1orf127,0.01,0.01,0.01
C1orf127,0.01,0.01,0.01
TARDBP,40.53,25.84,31.22
TARDBP,38.41,24.28,29.51
MASP2,0.61,0.62,0.35
MASP2,0.01,0.01,0.01
SRM,96.17,47.98,66.22
EXOSC10,22.37,14.31,14.9
EXOSC10,21.5,13.71,14.22
EXOSC10,14.44,9.34,9.43
MTOR,13.31,14.17,14.63
MTOR,13.92,14.93,15.57
MTOR-AS1,0.34,0.55,0.56
ANGPTL7,0.01,0.02,0.01
UBIAD1,8,5.52,6.56
PTCHD2,0.07,0,0
PTCHD2,0.36,0.02,0.07
PTCHD2,0.33,0.02,0.09
FBXO2,0.82,1.33,1.53
FBXO2,0.79,1.27,1.46
FBXO2,0.6,0.94,1
FBXO44,3.29,4.56,5.97
FBXO44,3.13,3.31,4.51
FBXO44,3.44,4.78,6.17
FBXO44,3.09,4.33,5.6
FBXO44,3.46,4.8,6.25
FBXO44,3.39,4.71,6.08
FBXO44,3.42,4.79,6.29
FBXO6,5.52,6.2,8.15
MAD2L2,54.66,67.67,94.8
MAD2L2,51.36,63.67,88.78
MAD2L2,35.1,43.29,60.6
DRAXIN,10.27,46.13,34.18
AK125437,6.16,24.28,15.01
AGTRAP,13.46,17.57,17.8
AGTRAP,13.7,17.98,18.25
AGTRAP,15.22,19.63,19.68
AGTRAP,15.45,20.04,20.13
AGTRAP,14.67,19.04,19.18
C1orf167,0.49,0.91,0.51
C1orf167,0.64,1.16,0.62
MTHFR,3.55,4.93,4.09
MTHFR,3.6,4.87,3.99
MTHFR,3.59,4.84,3.99
MTHFR,1.44,2.46,1.88
MTHFR,1.73,2.48,1.84
CLCN6,1.26,1.6,2.07
CLCN6,7.52,10.07,11.95
CLCN6,7.66,10.12,11.91
CLCN6,8.71,10.99,13.55
CLCN6,12.3,16.36,20.13
CLCN6,12.62,16.63,20.65
CLCN6,12.5,16.51,20.46
NPPA-AS1,1.78,2.06,2.84
NPPA-AS1,1.48,1.91,2.45
NPPA-AS1,2.51,3.43,4.4
NPPA-AS1,2.37,3.2,3.95
NPPA-AS1,2.29,2.75,3.8
NPPA-AS1,3.06,4.25,5.34
NPPA,1.7,3.23,3.48
NPPB,0,0.04,0.02
KIAA2013,26.74,26.99,28.7
KIAA2013,20.89,20.66,22.06
PLOD1,95.75,93.76,76.6
PLOD1,89.9,87.97,72
MFN2,33,40.92,43.07
MFN2,32.74,40.65,42.74
MIIP,17.52,17.33,25.42
TNFRSF8,0.03,0.03,0.02
TNFRSF8,0.03,0.03,0.02
TNFRSF8,0.04,0.04,0.03
TNFRSF8,0.04,0.03,0.02
TNFRSF1B,18.67,21.6,22.23
TNFRSF1B,18.36,21.17,21.69
TNFRSF1B,18.23,21.12,21.7
VPS13D,5.43,9.36,6.38
VPS13D,5.47,9.43,6.43
VPS13D,5.53,9.51,6.43
VPS13D,2.46,4.61,3.23
VPS13D,5.4,8.83,6.11
VPS13D,4.85,8.02,5.44
SNORA59B,0.09,0.54,0.39
DHRS3,2.12,9.28,8.32
DHRS3,2.22,9.65,8.66
DHRS3,1.36,5.61,5.16
DHRS3,1.13,4.68,4.29
DHRS3,0.74,2.72,3
AADACL4,0,0.01,0
AADACL3,0,0,0.01
AADACL3,0,0,0.01
C1orf158,0,0,0.01
LOC649330,0.05,0.03,0.01
HNRNPCL1,2.34,2.9,2.69
LOC440563,0.01,0.04,0.02
PDPN,0.24,0.11,0.08
PDPN,0.24,0.11,0.08
PDPN,0.23,0.11,0.08
PDPN,0.24,0.12,0.09
PDPN,0.23,0.11,0.08
PDPN,0.23,0.12,0.08
PRDM2,3.38,3.92,3.28
PRDM2,7.96,5.69,5.8
PRDM2,7.18,5.59,5.32
PRDM2,9.16,6.35,6.42
PRDM2,9.13,6.44,6.62
PRDM2,3.66,4.3,3.61
PRDM2,3.34,4.03,3.36
AK124197,1.26,1.98,1.45
KAZN,4.69,16.74,8.15
KAZN,1.76,7.53,2.85
KAZN,4.77,17.43,8.56
KAZN,4.83,17.42,8.61
KAZN,4.82,17.37,8.58
KAZN,5.02,18.22,8.97
KAZN,0.85,4.43,1.19
TMEM51-AS1,0.48,2.48,0.7
TMEM51-AS1,0.48,2.44,0.69
TMEM51,7.39,13.33,13.18
TMEM51,7.56,13.71,13.56
TMEM51,7.1,12.9,12.68
TMEM51,7.76,14.01,13.98
TMEM51,8.15,14.83,14.76
FHAD1,0.01,0.08,0.03
FHAD1,0.07,0.14,0.06
AK055853,0.2,0.18,0.16
FHAD1,0.02,0.05,0
FHAD1,0.12,0.19,0.08
FHAD1,0.13,0.2,0.09
FHAD1,0.01,0.03,0
FHAD1,0.58,0.78,0.45
EFHD2,22.02,25.06,26.68
CTRC,0.07,0.05,0.08
CTRC,0.09,0.07,0.1
CELA2A,0,0.01,0
CELA2B,0.04,0.07,0.06
CASP9,2.85,2.07,2.49
CASP9,4.03,2.97,3.59
CASP9,4.19,3.07,3.77
CASP9,3.8,2.81,3.55
CASP9,4.05,2.92,3.51
CASP9,4.14,2.99,3.73
DNAJC16,5.02,6.36,4.82
DNAJC16,6.07,7.65,5.97
DNAJC16,6.11,7.68,5.97
DNAJC16,2.81,3.58,2.71
AGMAT,0.83,0.68,0.57
DDI2,2.56,2.44,2.77
DDI2,6.56,6.58,6.11
DDI2,6.44,6.77,6
RSC1A1,7.25,7.79,6.8
DQ573015,5.91,7.13,5.11
PLEKHM2,37.04,42.32,42.96
SLC25A34,1.22,1.21,0.99
FBLIM1,11.74,12.12,9.6
FBLIM1,12.25,12.62,9.94
FBLIM1,9.34,9.19,7.7
FBLIM1,13.06,13.71,10.76
FBLIM1,13.05,13.7,10.74
UQCRHL,40.49,34.28,49.58
FLJ37453,1.8,1.09,1.24
SPEN,15.24,17.29,14.74
SPEN,15.3,17.49,14.84
ZBTB17,15.97,16.8,19.29
ZBTB17,15.08,16.05,18.24
ZBTB17,15.58,16.44,18.78
ZBTB17,15.68,16.62,19.08
ZBTB17,11.4,12.13,13.6
ZBTB17,10.9,11.63,13.21
ZBTB17,13.11,13.12,14.1
ZBTB17,8.44,8.45,9.99
ZBTB17,2.09,2.03,2.35
HSPB7,0.27,1.39,0.73
HSPB7,0.26,1.33,0.7
HSPB7,0.27,1.35,0.69
HSPB7,0.27,1.35,0.71
HSPB7,0.32,1.54,0.81
CLCNKA,0,0.16,0.05
CLCNKA,0.01,0.17,0.06
CLCNKA,0.01,0.17,0.06
CLCNKA,0.01,0.18,0.06
CLCNKA,0.01,0.2,0.03
CLCNKA,0.01,0.19,0.03
CLCNKB,0,0.1,0.02
CLCNKB,0.01,0.05,0.02
CLCNKB,0.01,0.06,0.02
FAM131C,0.38,1.53,1.99
EPHA2,15.32,10.66,9.22
EPHA2,12.47,8.33,6.88
ARHGEF19,2.28,2.51,2.49
ARHGEF19,1.78,1.79,1.8
RSG1,2.57,2.41,1.99
FBXO42,11.95,15.55,17.2
FBXO42,12.65,16.21,18.15
FBXO42,2.81,3.68,3.98
SZRD1,47.34,38.79,42.44
