,D425-Control,,,,,,D425-shOTX2 shRNA1 experiment 1,,,,,,D425-shOTX2 shRNA1 experiment 2,,,,,,D425-shOTX2 shRNA1 experiment 3,,,,,
CDKN1B(p27),508.3,439.8,340.1,380,324.8,541.8,430.5,377.1,540.1,684.4,749.3,724.4,439.6,461.6,470.3,615.8,661.5,709.4,450.4,454.6,438.8,542.6,772.6,717.5
TP53,179.8,140,209.5,184.5,189.7,149.3,112.2,126.4,127.7,144.8,174.2,231.8,67.2,73,84.8,98,109.8,153.9,96.4,104.3,111.8,87.7,118.1,129.5
XIAP,689.5,729.7,638.5,635.3,631.2,939.8,550.6,568.8,555.3,509.3,432.3,439.5,681.1,712.9,636.8,518.9,494,534.1,783.5,817.9,722,604.2,557.2,562.3
BIRC5,1633.7,1583,1118.6,1193.9,1479.9,727.6,1596,1905.1,1631,1558.9,576.2,286.7,1507,1577.5,1177.5,1162.8,631,224.4,1360.9,1463.6,948.4,1068.4,569.4,389
TNFRSF1A,118.5,96.7,97.4,99.6,133.8,106.9,121.6,107.7,97.5,88.2,65.5,47.9,70,74.7,91,66.2,44.1,43.7,81.4,71.4,79,70.1,28.1,36.4
IL6,9.1,17.7,7.6,3.3,29.7,16.9,29.9,7.9,13.8,3.4,2.8,20.3,7.3,11.1,14.6,7.2,10.1,11.7,6.3,9.7,20.1,6.7,8.4,4.9
TNFAIP1,258.5,250,286.7,266.9,242.8,291.4,358.7,335.9,304.6,328.5,466.1,538,242.8,291.2,204,230.6,289.7,358.8,217.2,236.7,227.7,251.4,330.1,345.1
XIAP,689.5,729.7,638.5,635.3,631.2,939.8,550.6,568.8,555.3,509.3,432.3,439.5,681.1,712.9,636.8,518.9,494,534.1,783.5,817.9,722,604.2,557.2,562.3
TRAILR-2,678.7,653.9,748.1,798.3,510.5,989.4,743.3,638.9,706.6,718.2,844.8,849.6,524.3,444.8,460.9,433.6,498.8,513.8,503.6,490.6,577.2,528.3,567.1,501.8
TNFRSF10A,1.9,13.5,5.7,7.7,1.9,11.9,2.6,14.5,3.4,4.2,20.6,2.1,9,10.2,8.2,12.3,23.8,16.7,10.9,9,19.6,9.2,15.7,15
