,D425-Control,,,,,,D425-shOTX2 shRNA1 experiment 1,,,,,,D425-shOTX2 shRNA1 experiment 2,,,,,,D425-shOTX2 shRNA1 experiment 3,,,,,
PGK1,4179,4299.5,4121.9,4400.2,3941.8,3793.9,3705.5,3756.3,3726.8,3774.1,3358.6,2601.7,3834,3610.3,3627.6,3554.3,2924.4,2313.2,3583.2,3529.4,3435.1,3348.6,2796.8,2584.1
PGK2,10.1,10.4,13.5,9,15.6,10.3,13.2,21.5,18.3,12.8,2.8,4.5,12,8.4,27.2,4.9,2.3,14.2,21.3,7.1,10.8,5.5,9.1,0.9
PGM1,316,303.6,338.9,363.2,380.4,398.3,378.7,358.4,404,425.7,462.1,302.1,372.2,345.3,294.2,350,397,304.5,320.2,311.2,331,351.3,380.5,291.6
PGM2,429.3,405.1,368.5,304.7,455.6,413.2,373,372.8,407.2,424.5,348.3,277.4,562.4,606.8,512.9,594,516.4,344.2,554.4,470.8,434,485.8,445.6,364.4
PGM3,170.8,226,191.4,159.3,157.2,182.3,204.4,179.3,185.1,195.9,206,125.4,284,256.8,238.3,258.6,241,199.7,202.9,270.2,211.6,245.8,199.9,183.6
TPI1,3219.1,3418.8,3980.1,4311.1,3893.5,3133.6,3701.9,3688.9,3883.3,3747.3,3016.4,2048.6,2702.2,2649,2590.1,2399.9,1887.5,1203.3,2711.7,2595.7,2623.8,2688.1,1735.6,1461.4
FBP1,33.9,5.4,12.8,22.9,11.4,38.2,11.8,16.9,26.8,6.6,12.1,2.4,16.9,2.5,15.2,14.9,4.1,3,12.1,7.4,20.8,18.1,11.2,12.6
G6PC3,1192.8,1303.3,1209.2,1339.4,1173.7,1200.9,1225.9,1179.1,1375,1410.6,1082.7,949.8,869.4,807.5,841,844.6,810.6,653.9,800.2,760.9,866.2,875.2,733.9,645.4
PCK2,240.3,226.6,359.2,390.4,240.8,307,166.1,241.7,183.7,192.1,226.6,178.1,160,130.7,144.6,138.1,141.6,168.8,131.4,133.8,183.8,225.1,160.9,116
PDK1,267.5,225.9,281.6,288.5,172.9,285.4,184.7,223.6,175.6,146.5,129.6,81.3,266,207.5,203.6,149.1,125.6,107.3,269,242.2,248.5,226.6,138.4,107.3
PDK3,27.9,29.3,36.4,41.3,40.1,32.1,62.5,49.4,46.4,40.6,44.8,85.6,56.3,61.2,62,71.3,81.2,121.5,61.2,55.8,78.2,61,68.6,103.5
PDK4,112.7,99.3,104.5,87.8,88.5,139.9,74.7,111.3,231.7,286.4,492.1,558.5,96,92.9,167.4,232.1,412,655.9,155.2,127.8,219.8,276.5,500.8,555.5
PDP2,102.8,77.2,107.7,112.2,75.2,155.5,77.4,77.9,89.6,88.7,59.9,92,94.4,109.8,116.9,102.3,83.4,116.9,98.5,60.4,130.9,115.4,98.9,102.3
PDPR,251.8,222.2,271,282.8,246.6,239.8,177,196.7,195,189,205.7,292.6,215.9,191.3,189.7,183.6,242.9,279.8,201.7,185,195.8,203.8,252.2,240.5
ACLY,3276.6,3245.9,3219,3157.8,3495.7,2949.4,3051.2,3219.7,3358.2,3585.9,4014.9,3971.3,2922.8,2940.6,3381.5,3684,3925.3,3937.5,3131.7,3032.1,3063.2,3158.7,3857.7,3991.8
ACO1,30.4,34.1,25.5,26,30.3,25.2,103.8,54.6,77.3,86.2,101.2,162.4,106.4,67.1,67.2,68.8,81.3,132.7,68.2,54.7,66.6,52.2,99.3,116.8
ACO2,881.1,937.7,1054.2,1158.6,700,848.3,1154.6,1196.2,1091,1111.2,1277,680.6,930.4,949,917.2,757.6,823.7,621.4,643.3,775.7,839.3,930.4,793,536.3
CS,2918.7,3049.7,3245.7,3305.4,4711,2829.8,2814.7,2962.7,2989.1,2936.8,2708.5,2314.2,2677.3,2674.9,3277.5,2581.6,2776.3,2208.4,2737.8,2592.2,2833.6,2706.3,2657.3,1966.5
DLAT,831.9,758.5,806.5,677.9,1015.9,871.4,765.5,704.3,916.6,894.9,951.6,563.1,807.9,766.9,855.6,856,848.8,551.9,829.3,770.6,877.2,902.8,817.5,612
DLD,1460.3,1497.7,1348.6,1352.5,1486.8,1454.4,1403.1,1193.5,1278.8,1297.1,1373.2,1035.4,1533.2,1586.4,1459.6,1607.2,1404.9,1167.8,1446.1,1428.7,1284.2,1368.4,1347,1218.2
FH,1347.1,1219.3,1214,1097.4,1134.1,1031.2,1292.9,1376.3,1372,1332.3,1006,853.4,1461.3,1594,1556.9,1453.5,1217.8,853.7,1312.5,1369,1213.6,1508.7,1094.8,914.7
IDH1,2963.5,3253.4,2451,2634.8,2922,2358.6,3845.5,3271.2,2723.3,2169.4,1210.4,989.8,4018.1,3894.6,2956.7,2244.7,1123.6,1166.7,3325,3485,2599,2160.6,1315.8,1475.4
IDH2,128.8,115.4,118.5,125.3,89.4,73.9,88.2,100.8,134.1,185.3,313,271.5,79.7,68.6,97.7,130.3,233,133.6,86.3,109.6,72.9,125.5,195.4,161.5
IDH3A,400.9,420.2,372.1,415.1,521.9,423,423.3,353.6,401.1,360.2,410.2,278.3,340.1,399.6,474.9,445,322.4,288.7,384.6,372.5,422.1,432.9,331.6,313.4
IDH3B,676.2,609.2,633.1,676.7,686.7,567.2,546.2,583.9,543.5,571.9,560,578.8,514.7,461.3,512.7,551,515.6,448,464.4,456.4,505.2,507.1,496.3,469.4
IDH3G,392.2,345.2,404.5,484.5,271.7,353,452.6,374.7,422.7,436.7,440.7,379.1,356,336.4,365.8,342.6,379.8,238.2,388.3,385.3,423.6,430.6,359.4,290.8
MDH1,4897.3,5548.1,5747.7,5250.4,6136.7,5008.8,4597.1,5224.4,4593.6,4293.8,3549,2702.6,5112,5123.2,5337,4818.9,3924.7,3106.6,4963,4908.8,4650.1,4784.2,3810.7,3501
MDH2,2856.5,2805,3024.2,3414.8,3101.4,3093.4,2640.6,2523.6,2745.5,2818.7,2525.8,1612.9,2758,2873.5,2985.4,2731.5,2193.7,1681.2,2426.6,2588,2787,2767.6,2219.9,1633
OGDH,54.2,48.5,120.7,95.5,48.8,39,107.8,50.5,70.2,65.7,51.7,69.9,63.3,5.3,37.7,40.3,48,34.4,34.2,26.3,50.5,65.8,31.3,39.6
PDHA1,2082.8,2018,1969.8,2047.4,1761.8,2326.3,1878,1811.2,1987,2050.7,1916.3,1281.8,1947.2,1865,2084.9,2079.1,1831.9,1402.6,1988.8,1951.8,1996.4,2085.6,1850.5,1487.9
PDHB,1649.3,1715.2,1585.2,1534.9,2037.5,1804.9,1405.2,1500.2,1605.6,1711.3,1760.1,1441.4,1552.1,1708.8,1643.9,1828.7,1935,1474.3,1622.9,1505.7,1584.7,1742.4,1799.6,1533
SDHA,360.2,345.8,368.2,382.1,474.8,317.5,389.5,386.1,386.7,385.4,308.1,306.5,349.2,365.5,362.3,323.4,262.7,281.9,297.5,314.1,265.4,288.5,276.6,261.9
SDHB,626.3,647.2,641.5,681.4,575.6,530.8,658.2,589.7,617.6,663.6,418.1,325.5,676.9,663.9,666.5,683.3,471.9,343.6,595.1,648.5,637.4,605.3,455.4,381.9
SDHC,1007.2,915.4,866.1,777.1,844.9,845.8,943.2,965,1028.4,1054.9,994.1,818.5,590.6,945.9,816.5,974,935.9,695.7,976.8,946.2,947.2,968.3,904.6,840.6
SDHD,1323.5,1360.3,1307,1186.1,1093.3,1401,1185.5,1118.6,1310.7,1286.7,1078.1,761.2,1216.5,1395.6,1395.1,1546,1340.4,951.2,1471.1,1414.3,1456.3,1426.8,1211.2,1096.9
SUCLA2,453.5,420.7,417.1,393.7,382.3,504.2,461.7,374.7,480.6,461.6,399.8,390.7,464.9,439.7,460.3,467.8,418.8,409.8,488.5,457.6,445.8,449.6,428.3,428.8
SUCLG1,1629.6,1381.9,1606.1,1613.5,1469.7,1403.2,1403.6,1267.9,1438.2,1569.7,1377.4,947.5,1168.1,1255.2,1149.9,1265,1165.1,916.4,1176.8,1209.8,1170.2,1255.2,1224.3,997.7
SUCLG2,380.1,399.7,340.7,311.3,343.1,356,374.9,411.1,485.6,485.2,478.4,288.2,380.6,440.4,480.3,529.2,591.6,299.8,393.4,436,442,491.2,459.2,361
G6PD,44.9,55.5,55.9,37,52,49,36.8,32.7,44.8,28.3,23.1,91.8,14.5,27.4,16.3,18.3,10.6,32.6,29.5,22.2,12.3,17.8,8.1,29.6
H6PD,49.1,29.8,21.6,32,31.8,16.3,38.1,31,33.9,37.7,34.2,51.5,29.7,29,25.7,27.5,50.3,41.6,39.5,33.2,33.5,26.1,46.3,35
PGLS,334.5,328.5,329.7,366.5,352.7,357.8,306.5,273.4,313.6,318.2,346.8,319.5,198.3,187.9,175,174.2,269.4,192.4,164.9,200.8,188,191.9,240.5,169.3
PRPS1,1204.1,1142.6,1111.7,1069.6,1448.6,829.7,889.6,936.1,967.5,814.2,531.6,357.4,1061.8,782.3,967.6,884.6,518,457.2,969.7,711.8,886.5,782.7,549.5,480.7
PRPS2,309.3,283,257.3,238.4,262.3,199.3,322.5,300.4,316,291.7,158.1,106.1,386.6,447.5,336.7,325.8,188.3,142.3,359.7,315.6,268,257.8,176,161.9
RPE,371.3,445,387.1,362.6,324.1,431.4,414,369.3,349.6,342.7,226.8,164.8,492.8,561.9,509.9,489.2,329.9,220.8,483.7,490.6,456.3,469.5,305.5,270
RPIA,359.4,270.9,393.1,371.9,356.5,352.6,277.7,259.8,273.6,208,110.8,109.5,258.2,255.7,205.6,181.5,107.3,126.8,258.7,273.5,254,183.7,136.3,141.3
TKT,1079.6,1230.7,1303.4,1128.6,1086.2,1293.8,1599.1,1671.1,1852.4,1851.9,1680,1095.6,974.5,788,862,751.2,720.8,473.9,863.1,947.8,867.9,834.2,670.8,447.7
GBE1,230.5,252.8,256.6,249.2,299,309.4,369.8,310.5,298.5,285.8,278.6,260.5,358.1,315,262.5,279,268.9,183,262.4,252.7,245.3,288.4,264.5,225.7
GYS1,234.3,219.1,315.4,321.4,273.1,209.5,321.2,250.7,282.3,293.1,259.6,173.2,209.5,173.8,180.8,162.9,166.5,76.4,183.9,172.7,209.8,204.9,158.5,106.4
UGP2,1738.7,1796.1,1643.1,1672.6,1734.6,1824,1731.2,1894.8,1699.8,1715.6,1563.2,1182.3,1928.9,2097.5,1946.4,1830.8,1741.5,1314.4,2038.2,2017,1879.3,1872.6,1758.8,1461.6
AGL,1160.4,1013.8,1196,1083.4,834.1,1508.9,790.2,712.3,1004.6,1029.6,1262.1,775.3,868.4,904.9,1005.9,995.4,1302.6,967.7,1081,1024.9,1162.5,1171.1,1305.9,1118.1
PGM1,316,303.6,338.9,363.2,380.4,398.3,378.7,358.4,404,425.7,462.1,302.1,372.2,345.3,294.2,350,397,304.5,320.2,311.2,331,351.3,380.5,291.6
PGM2,429.3,405.1,368.5,304.7,455.6,413.2,373,372.8,407.2,424.5,348.3,277.4,562.4,606.8,512.9,594,516.4,344.2,554.4,470.8,434,485.8,445.6,364.4
PGM3,170.8,226,191.4,159.3,157.2,182.3,204.4,179.3,185.1,195.9,206,125.4,284,256.8,238.3,258.6,241,199.7,202.9,270.2,211.6,245.8,199.9,183.6
PYGL,127.9,120.7,134,125.2,104.3,173.4,184.8,140.3,148.2,114.3,77.2,32.9,151.1,119.8,91,86.3,72.6,33.9,113.8,98.4,126.9,110.3,58.7,44.9
PYGM,7.2,2.1,11.3,15.3,23.5,15.1,1.9,3.2,6.2,2.7,39.8,93.9,4.6,17.8,10.7,4,35.9,61.8,2.9,11.6,10,3.9,27.8,50.8
GSK3A,92.5,101.6,114.1,130.3,94.2,65.9,154.1,91.3,103.5,104.3,130.5,99.6,66.9,58.8,79.8,89.8,101.8,116.4,96,84.2,94.3,87.5,83.1,94
GSK3B,254,226.6,220.4,223.4,292.1,221.4,281.9,259.4,249,315.6,416.9,500.9,324.3,276.1,302,330.9,446.5,522.3,280.9,308.6,326.5,316,486.1,515.8
PHKA1,110.6,122.4,103.3,146.1,125.3,123.8,121.4,102.3,112.9,101.3,76.8,56.6,122.4,106.7,113,125.7,85.3,67.6,111.6,100.2,110.9,113,64.2,70.1
PHKB,408.1,363.6,464.9,459.5,444.3,474.2,433.1,388.4,443.6,421.2,393.3,363,422.9,397.7,456.6,473.3,464.1,416.6,427.5,404.4,518.8,474.3,442.3,407.3
PHKG2,81.2,80.7,81.4,61.8,119.5,86.3,103.5,100.4,80.6,60.8,36.4,63.3,96.9,65.4,78.1,60,37.1,44.4,56,53.9,63.7,55.7,50,45.8
